rank,youtuber,subscribers,video_views,video_count,category,started,views_per_video,subs_to_views_ratio,channel_age,subs_per_video,engagement_score,year
115,GR6 EXPLODE,40800000.0,28252318887.0,3375.0,Music,1970-01-01 00:00:00.000002014,8371057.448,0.0014441292469898348,10,12088.888888888889,692.45879625,1970
116,T-Series Bollywood Classics,40800000.0,26699949599.0,2061.0,Music,1970-01-01 00:00:00.000002012,12954851.819019893,0.0015280927721874086,12,19796.2154294032,654.4105293872549,1970
117,YouTube,40700000.0,2876535428.0,727.0,News & Politics,1970-01-01 00:00:00.000001970,3956719.98349381,0.014148965315646375,54,55983.493810178814,70.67654614250614,1970
118,Shorts Break,40600000.0,28028920749.0,624.0,Comedy,1970-01-01 00:00:00.000002021,44918142.225961536,0.0014485038636904528,3,65064.10256410256,690.3675061330049,1970
119,XXXTENTACION,40500000.0,11072517534.0,135.0,Music,1970-01-01 00:00:00.000002015,82018648.4,0.003657704751935415,9,300000.0,273.39549466666665,1970
120,Vlad và Niki,40500000.0,25658565309.0,604.0,,1970-01-01 00:00:00.000002018,42481068.392384104,0.0015784202862579467,6,67052.98013245034,633.5448224444444,1970
121,???? one31,40500000.0,28450417853.0,145242.0,Entertainment,1970-01-01 00:00:00.000002013,195882.85656352845,0.00142352918010761,11,278.84496220101624,702.4794531604938,1970
122,Like Nastya ESP,40400000.0,20034679150.0,856.0,Entertainment,1970-01-01 00:00:00.000002017,23404999.007009346,0.0020165034686866947,7,47196.26168224299,495.90789975247526,1970
123,elrubiusOMG,40300000.0,7450255112.0,702.0,Gaming,1970-01-01 00:00:00.000002011,10612899.01994302,0.0054092107443528305,13,57407.40740740741,184.86985389578163,1970
124,MR. INDIAN HACKER,40200000.0,7059142272.0,1031.0,Science & Technology,1970-01-01 00:00:00.000002012,6846888.7216294855,0.005694742852747536,12,38991.270611057225,175.60055402985074,1970
125,Ultra Bollywood,40100000.0,16051919680.0,9399.0,Trailers,1970-01-01 00:00:00.000002009,1707832.7141185233,0.0024981435740650303,15,4266.411320353229,400.2972488778055,1970
126,La Granja de Zenón,40000000.0,31299646193.0,746.0,Music,1970-01-01 00:00:00.000002013,41956630.28552279,0.001277969717400377,11,53619.30294906166,782.491154825,1970
127,AboFlah,39900000.0,5917758614.0,708.0,Gaming,1970-01-01 00:00:00.000002016,8358416.121468927,0.00674241762845922,8,56355.93220338983,148.31475223057643,1970
128,HUM TV,39600000.0,33482311946.0,143512.0,Entertainment,1970-01-01 00:00:00.000002011,233306.70568314844,0.0011827140271516063,13,275.9351134399911,845.5129279292929,1970
129,Jingle Toons,39400000.0,13070438462.0,254.0,Film & Animation,1970-01-01 00:00:00.000002013,51458419.14173228,0.0030144359819717272,11,155118.11023622047,331.73701680203044,1970
130,Daddy Yankee,39000000.0,24619906597.0,558.0,Music,1970-01-01 00:00:00.000002011,44121696.410394266,0.0015840839950526965,13,69892.47311827957,631.2796563333334,1970
131,Akshay Nagwadiya,38700000.0,12285133881.0,913.0,Entertainment,1970-01-01 00:00:00.000002017,13455787.383351589,0.0031501488200997817,7,42387.73274917853,317.4453199224806,1970
132,One Direction,38600000.0,14338673594.0,157.0,Music,1970-01-01 00:00:00.000002010,91329131.17197452,0.002692020272792326,14,245859.87261146496,371.4682278238342,1970
133,Frost Diamond,38600000.0,9391300398.0,3369.0,Gaming,1970-01-01 00:00:00.000002014,2787563.1932324134,0.004110186913861298,10,11457.405758385277,243.29793777202073,1970
134,Alfredo Larin,38400000.0,30664895336.0,1780.0,Entertainment,1970-01-01 00:00:00.000002017,17227469.28988764,0.001252246243766537,7,21573.03370786517,798.5649827083333,1970
135,LankyBox,38200000.0,43383319023.0,11668.0,Comedy,1970-01-01 00:00:00.000002016,3718145.2710833047,0.0008805227645157342,8,3273.9115529653754,1135.6889796596859,1970
136,TheEllenShow,38200000.0,23177250521.0,16953.0,Entertainment,1970-01-01 00:00:00.000002006,1367147.4382705125,0.0016481678862377777,18,2253.2885035097033,606.7343068324608,1970
137,Bruno Mars,38100000.0,21239189125.0,100.0,Music,1970-01-01 00:00:00.000002006,212391891.25,0.001793853794312404,18,381000.0,557.459032152231,1970
138,Jkk Entertainment,37900000.0,16959569885.0,236.0,Comedy,1970-01-01 00:00:00.000002017,71862584.25847457,0.0022347264852230066,7,160593.22033898305,447.4820550131926,1970
139,Gulshan Kalra,37200000.0,16562408810.0,671.0,Howto & Style,1970-01-01 00:00:00.000002018,24683172.593144562,0.002246050102177136,6,55439.64232488823,445.22604327956986,1970
140,Ryan's World,37200000.0,57768805062.0,2835.0,Entertainment,1970-01-01 00:00:00.000002015,20377003.54920635,0.0006439461567549361,9,13121.693121693123,1552.9248672580645,1970
141,Maroon 5,37000000.0,24103378959.0,183.0,Music,1970-01-01 00:00:00.000002006,131712453.32786885,0.0015350544860509904,18,202185.79234972678,651.4426745675676,1970
142,Ozuna,36800000.0,24955636109.0,233.0,Music,1970-01-01 00:00:00.000002016,107105734.37339056,0.0014746167895407182,8,157939.91416309014,678.1422855706521,1970
143,BabyBus - Kids Songs and Cartoons,36800000.0,28837128283.0,2448.0,Education,1970-01-01 00:00:00.000002016,11779872.664624183,0.0012761326176051397,8,15032.679738562092,783.6176163858696,1970
144,Markiplier,36700000.0,21532398718.0,5602.0,Gaming,1970-01-01 00:00:00.000002012,3843698.4501963584,0.001704408342082234,12,6551.231702963228,586.7138615258856,1970
145,WowKidz,36700000.0,19640525108.0,8013.0,Film & Animation,1970-01-01 00:00:00.000002015,2451082.6292275055,0.001868585478147492,9,4580.05740671409,535.1641718801089,1970
